id;key;French;Dutch;English;Portuguese;Swedish;Norwegian;Danish
354583a9f072faee6fad2e8e17038b89;language.selectlanguage;Sélectionnez votre langue;Selecteer je taal;Select your language;Selecione o seu idioma;Välj språk;Velg språk;Vælg sprog
bed6c2697ef1ab947f88ea8a1eaa5e63;landing.tours.title;Notre catalogue de circuits;Onze catalogus met rondleidingen;Our Catalogue of Tours;Nosso catálogo de tours;Vår katalog med utflykter;Vår rundreisekatalog;Vores katalog med rundture
be7cdd37745cf81b28ef9e51a5d598e5;tours.category.individual.navigationlabel;Circuits individuels;Individuele rondreizen;Individual Tours;Tours individuais;Individuella utflykter;Individuelle rundreiser;Individuelle rundture
eb94e03f54f3a14af31682f2fb5aad83;tours.category.individual.title;Circuits individuels;Individuele rondreizen;Individual Tours;Tours individuais;Individuella utflykter;Individuelle rundreiser;Individuelle rundture
d461f2eb83e6c745b10881fa3eb584f1;tours.category.individual.subtitle;Avec un guide touristique personnel;Met een persoonlijke gids;With a personal tour guide;Com guia turístico pessoal;Med en personlig reseledare;Med en personlig guide;Med en personlig turguide
96171132e76eece8fb8365f7826ebbe5;tours.category.individual.tag;Des expériences inoubliables;Onvergetelijke ervaringen;Unforgettable Experiences;Experiências inesquecíveis;Oförglömliga upplevelser;Uforglemmelige opplevelser;Uforglemmelige oplevelser
daeb579a2eb7f5dc96cf75a3f8e7db6d;tours.category.group.navigationlabel;Circuits de groupe;Groepsrondreizen;Group Tours;Tours em grupo;Gruppresor;Gruppereiser;Grupperundture
880e6d1c7f9d6b30001a766c02b79fc4;tours.category.group.title;Circuits de groupe;Groepsrondreizen;Group Tours;Tours em grupo;Gruppresor;Gruppereiser;Grupperundture
45d841aa1334435c003b0058133d8d12;tours.category.group.subtitle;Rejoignez nos guides locaux experts et nos aventuriers;Ga mee met onze deskundige lokale gidsen en avonturiers;Join our expert local guides and adventurers;Junte-se aos nossos aventureiros e guias locais treinados;Följ med våra kunniga lokalguider och äventyrare;Bli med våre dyktige lokale guider og eventyrere;Deltag sammen med vores dygtige lokale guider og eventyrere
bc9b907f7c1d74e39941a9ee01533f31;tours.category.group.tag;Nos meilleures ventes;Onze bestseller;Our Best Seller;Nossos best-sellers;Våra bästsäljare;Våre bestselgere;Vores mest populære
2890e9fc01c2199d66041b0840a6e56b;tours.category.selfdrive.navigationlabel;Circuits Fly & Drive;Selfdrive rondreizen;Selfdrive Tours;Tours autoguiados;Kör-själv-tur;Kjør-selv-turer;Kør-selv ture
782756154a3db9c8b194654057384713;tours.category.selfdrive.title;Circuits Fly & Drive;Selfdrive rondreizen;Selfdrive Tours;Tours autoguiados;Kör-själv-tur;Kjør-selv-turer;Kør-selv ture
65bbc4434315a4c262fa3c6c4f7bf294;tours.category.selfdrive.subtitle;Volez, conduisez et vivez le rêve;Vlieg, rijd en leef je droom;Fly, drive and live the dream;Voe, passeie e viva o seu sonho;Flyg, kör och förverkliga din dröm;Fly, kjør og gjør drømmen din virkelig;Flyv, kør og lev drømmen ud
68fea4a43263cd391c6d14e2700e15aa;tours.category.selfdrive.tag;Parfait pour les aventuriers intrépides;Perfect voor onverschrokken avonturiers;Perfect for intrepid adventurers;Perfeito para aventureiros destemidos;Perfekt för djärva äventyrare;Perfekt for uredde eventyrere;Ideel for dristige eventyrere
9435b5ae2c5b1a1c5921996cb1b23a4b;homepage.hero.title;Il est temps de voir le monde;Het is tijd om de wereld te zien;It's time to see the world;É hora de ver o mundo;Det är dags att se världen;Det er på tide å se verden;Det er tid til at opleve verden
7b0b0406f4e9393d5e80624a01178488;homepage.hero.paragraph;Ces moments inoubliables qui enrichissent votre vie.;Onvergetelijke momenten die je leven verrijken;Unforgettable moments that make life richer;Momentos inesquecíveis que enriquecem a vida;Oförglömliga ögonblick som förgyller ditt liv;Uforglemmelige øyeblikk som gjør livet rikere;Mindeværdige øjeblikke, der gør livet mere mangfoldigt
0ba3e4c70036fcff9e20b6fca8af10e6;homepage.hero.label;Circuits TUI;TUI tours;Tui tours;TUI tours;Tui Tours;TUI Tours;Tui Tours
3fe782725b3a9a0598e5735355ded800;messages.error.invalidMarketCode.title;Code de marché incorrect;Onjuiste marktcode;Incorrect market code;Código de mercado incorreto;Felaktig marknadskod;Feil markedskode;Ukorrekt markedskode
595eb2910337516f343ca69597d61946;messages.error.invalidMarketCode.message;Veuillez choisir un code de marché valide.;Sorry, je moet een geldige marktcode kiezen;Sorry, You have to choose a valid market code;Lamentamos, mas você deve escolher um código de mercado válido;Du måste välja en giltig marknadskod;Beklager, du må velge en gyldig markedskode;Beklager, du bliver nødt til at vælge en gyldig markedskode.
0b5339dec7ad8c58747c50fd99005cca;buttons.text.tryAgain;Essayez à nouveau;Probeer het nog eens;Try again;Tente novamente;Försök igen;Prøv igjen;Prøv igen
948a9429bc7bdd58686de9deebe5c845;buttons.text.seeAllAvailableTours;Voir tous les circuits disponibles...;Zie alle beschikbare rondreizen...;See all available tours...;Ver todos os tours disponíveis...;Se alla tillgängliga utflykter...;Se alle tilgjengelige rundreiser;Se alle tilgængelige rundture
11386c03d79faee12f6ae7e537ca84de;messages.error.loadingError.title;Oops, il semble y avoir une erreur;Oeps, er is een fout opgetreden;Oops, there was an error;Opa, ocorreu um erro;Oj, ett fel har uppstått;Ups, det oppstod en feil;Ups, der er opstået en fejl
c0413203df6f1a2fd330dd65fe314c59;messages.error.loadingError.message;C'est pourquoi nous ne pouvons pas vous montrer les résultats;En daarom kunnen we u geen resultaten laten zien;And that's why we can't show you results;E é por isso que não conseguimos mostrar resultados;Det är därför vi inte kan visa dig några resultat;Og det er derfor vi ikke kan vise deg noen resultater;Og det er derfor, vi ikke kan vise dig nogen resultater
557816878687d1e32f231aaea1781deb;messages.error.emptyResultsError.title;Il n'y a pas de circuits disponibles pour le moment;Er zijn op dit moment geen beschikbare rondreizen;Det er ingen tilgjengelige utflukter for øyeblikket;Não há tours disponíveis no momento;Det finns inga tillgängliga utflykter för tillfället;Det finnes ingen tilgjengelige rundreiser i øyeblikket;Der er ingen tilgængelige rundture i øjeblikket
2b49776cbe5fe2f86ec039e4941efc32;messages.error.emptyResultsError.message;Mais ne vous inquiétez pas, vous pouvez explorer d'autres catégories ou effectuer une recherche;Maar maak je geen zorgen, je kunt andere categorieën verkennen of een zoekopdracht uitvoeren;But don't worry, you can explore other categories or perform a search;Não se preocupe. Você pode explorar outras categorias ou realizar uma pesquisa;Men oroa dig inte, du kan utforska andra kategorier eller göra en ny sökning;Ikke bekymre deg, du kan utforske andre kategorier eller gjøre et nytt søk;Men bare rolig, du kan udforske andre kategorier eller lave en anden søgning
eb96341cfbdb2c8ae3c957900f75d712;buttons.text.contactUs;Contactez-nous;Neem contact met ons op;Contact Us;Fale conosco;Kontakta oss;Kontakt oss;Kontakt os
d9a018cfe369f6e8b59ec72c7ccccde0;buttons.text.informationAndConditions;Informations importantes et conditions;Belangrijke informatie en voorwaarden;Important information and conditions;Informações importantes e condições;Viktig information och villkor;Viktig informasjon og vilkår;Vigtig information og vilkår
